RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b14482757;1  ;1908;1930;المباحث.;;"al-Mabāḥith$""المباحث :""$""مجلة المباحث""";المباحث;;;;طرابلس :;جرجي يني،;1908-1930.;"14 بكرة ميكروفيلم : ايجابي وسلبي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;;"في المكتبة:مج.1-6(1908:تشرين الثاني-1914:تموز)؛ مج.17(1924:تشرين الثاني-1925:تشرين الأول)؛ مج.20(1928-1929)؛ مج.22(1930-1931)";صدر العدد الاول 16 تشرين الثاني 1908.
b21207690;s  ;1906;1906;المبتدئون :;مجلة علمية انتقادية فكاهية تصدر مرتين في الشهر /;al-Mubtadi'un :;المبتدئون;;;;بيروت :;الكلية السورية الإنجيلية،;1906.;عددان.;مرتين في الشهر.;CEASE;;"تحفظ في دائرة الارشيف والمجموعات الخاصة.$""The volume is available in AUB Archives/AA.4.2.1 Student/Student Manuscript Magazines box 8.""";في المكتبة : س.1 ع.2-3 (1906);
b13625767;s  ;1899;1899;المبدأ الصحيح :;جريدة إخلاصية تهذيبية فكاهية علمية تصدر كل خميس;"جريدة إخلاصية تهذيبية فكاهية علمية تصدر كل خميس$""al-Mabda’ al-ṣaḥīḥ :""";المبدأ الصحيح;;;;بيروت :;[الكلية السورية الانجيلية]،;1899;مجلد.;أسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000501.;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 2.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة :ع. 1-8(1899: أيار،18 - تموز،6);
b13625846;1  ;1899;18uu;المبدأ الصحيح :;جريدة إخلاصية تهذيبية فكاهية علمية تصدر كل خميس /;"جريدة إخلاصية تهذيبية فكاهية علمية تصدر كل خميس$""al-Mabda’ al-ṣaḥīḥ :""";المبدأ الصحيح;;;;بيروت :;الجامعة الأميركية في بيروت،;1898-[18؟؟];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبةع. 1- 8 (1899 : أيار - تموز);
b12820829;1  ;1915;1933;المجلة :;صحيفة جامعة.;"al-Majallah :$""المجلة :""";المجلة;;;;بيروت :;الحزب السوري القومي الإجتماعي،;1915-[1933];"4 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1923:شباط-1924:كانون الأول، 1925:شباط-تموز، 1933:آذار-تموز.;صدرت سنة 1915.
b13168678;s  ;1915;1933;المجلة :;صحيفة جامعة.;"al-Majallah :$""المجلة :""";المجلة;;;;بيروت :;الحزب السوري القومي الإجتماعي،;1915-[1933];"مجلدات ؛ 23 سم";شهرية.;CEASE;مج. 9، 10، 11 متوفر على ميكروفيلم : Mic-NA:000015.;تحفظ في دائرة الارشيف والمجموعات الخاصة.;"في المكتبة:مج.10(1924:شباط)؛ مج.18(1933:آذار)";صدرت سنة 1915.
b13378326;1  ;1926;1933;المجلة البطريركية :;تاريخية ادبية علمية مصورة.;"al-Majallah al-Baṭriyarkīyah :$""Revue Patriarcale""";المجلة البطريركية;;;;جونية، لبنان :;بولس قرألي،;1926-[1933];"3 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة: 1930:كانون الثاني-1932:كانون الأول.;صدرت سنة 1926.
b13377334;1  ;1919;1924;المجلة التجارية السورية الأميركية :;تجارية، صناعية، إقتصادية.;"al-Majallah al-tijārīyah al-Sūrīyah al-Amrīkīyah :$""Commercial magazine""$""Syrian-American commercial magazine""";المجلة التجارية السورية الأميركية;;;;نيويورك :;[سلوم مكرزل]،;1919-[1924].;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر على نسخة مطبوعة.;"في المكتبة: سنة 1: عدد 9/10(1919:آب-ايلول)، سنة 2:عدد 8/9(1920:آب-ايلول)، سنة 4:عدد 8/9(1922:آب-ايلول)$""نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.""$""الميكروفيلم يحتوي ايضاً على الاعداد المصورة من العالم الجديد.""";في المكتبة:مج.1:ع.9-10(1919:آب-ايلول)، مج. 2:ع. 8-9(1920:آب-ايلول)، مج. 4:ع. 8-9(1922:آب-ايلول);
b2206428x;s  ;1919;1924;المجلة التجارية السورية الأميركية :;تجارية، صناعية، إقتصادية.;"al-Majallah al-tijārīyah al-Sūrīyah al-Amrīkīyah :$""Commercial magazine""$""Syrian-American commercial magazine""";المجلة التجارية السورية الأميركية;;;;نيويورك :;[سلوم مكرزل]،;1919-[1924].;"مجلدات : مصورات ؛ 31 سم";شهرية.;CEASE;متوفر أيضاً على ميكروفيلم رقم Mic-NA:000464.;"في المكتبة: سنة 1: عدد 9/10(1919:آب-ايلول)، سنة 2:عدد 8/9(1920:آب-ايلول)، سنة 4:عدد 8/9(1922:آب-ايلول)$""نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.""$""الميكروفيلم يحتوي ايضاً على الاعداد المصورة من العالم الجديد.""";في المكتبة:مج.1:ع.9-10(1919:آب-ايلول)، مج. 2:ع. 8-9(1920:آب-ايلول)، مج. 4:ع. 8-9(1922:آب-ايلول);
b23656323;s  ;1924;192u;المجلة التجارية لغرفة تجارة حيفا.;;;المجلة التجارية لغرفة تجارة حيفا;;;;حيفا :;مطبعة الزهرة،;1924-[192؟];"1 عدد ؛ 24 سم";;CEASE;;;في المكتبة: مج.5:ع.5(1929:أيلول);1924.
b13169294;s  ;1929;1932;المجلة الجديدة /;;al-Majallah al-jadīdah;المجلة الجديدة;;;;القاهرة :;المركز العربي للدراسات والنشر،;1997.;"2 مجلد : مصورات ؛ 25 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000492;;في المكتبة:مج.1-مج.2(1929:تشرين الثاني-1930:تشرين أول);صدر العدد الاول في اول نوفبر سنة 1929.
b13582070;1  ;1929;1932;المجلة الجديدة /;;al-Majallah al-jadīdah;المجلة الجديدة;;;;القاهرة :;المركز العربي للدراسات والنشر،;1997.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة يافث،دائرة المصغرات الفلمية.;في المكتبة:مج. 1-2(1929:تشرين الثاني-1930:تشرين اول);صدر العدد الاول في اول نوفبر سنة 1929.
b12824860;s  ;1929;1935;المجلة الزراعية المصرية /;;al-Majallah al-zirā‘īyah al-Miṣrīyah;المجلة الزراعية المصرية;;;;القاهرة :;وزارة الزراعة، قسم الإرشاد الزراعي،;[1929-1935];"مجلدات : مصورات ؛ 27 سم";شهرية.;CEASE;;;في المكتبة:1930، 1933، 1935.;
b23277324;s  ;1917;1918;المجلة السلفية :;علمية أدبية أخلاقية تاريخية إجتماعية.;Salafiyah review;المجلة السلفية;;;;مصر :;[عبد الفتاح قتلان]،;1917-1918.;"مجلدات ؛ 24 سم";شهرية.;CEASE;;;"في المكتبة: مج.1:ع.1-10(1917:شباط-تشرين الثاني)؛ مج.2:ع.1-10(1918:كانون الثاني-تشرين الأول)";
b13152749;s  ;1926;1929;المجلة السورية :;تاريخية أدبية علمية مصورة.;"al-Majallah al-Sūrīyah :$""Revue Syrienne""";المجلة السورية;;;;مصر الجديدة :;المطبعة السورية،;1926-1929.;"2 مجلد : مصورات ؛ 24 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000476a;;"في المكتبة : مج. 2-3 (1927-1928)؛ مج.4:ع.1-7(1929:كانون الثاني-تشرين الأول)";صدرت سنة 1926.
b13378375;1  ;1926;1929;المجلة السورية :;تاريخية أدبية علمية مصورة.;"al-Majallah al-Sūrīyah :$""Revue Syrienne""";المجلة السورية;;;;مصر الجديدة :;المطبعة السورية،;1926-1929.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1927:كانون الثاني-1928:كانون الأول.;صدرت سنة 1926.
b25418543;s  ;1923;1945;المجلة الطبية العلمية :;شهرية مصوّرة.;;المجلة الطبية العلمية;;;;بيروت، لبنان :;المطبعة الأدبية،;1923-1945.;"مجلدات : مصورات ؛ 23 سم";شهرية.;CEASE;;;"في المكتبة : مج.3:ع.1-4، 7-12(1925:آب-تشرين الثاني، 1926:شباط-تموز)؛ مج.4:ع.4-7، 10-12(1926:تشرين الثاني-1927:شباط، أيار-تموز)؛ مج.5:ع.1-6، 9(1927:آب-1928:كانون الثاني، نيسان)؛ مج.10:ع.9(1933:نيسان)";
b14642244;1  ;1916;1917;المجلة العربية :;مجلة حديثة راقية.;al-Majallah al-‘arabīyah :;المجلة العربية  ;;;;نيويورك :;المجلة العربية،;1916-1917.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1999.;في المكتبة :ج 8:ع1-ج 8:ع 10 (1916:تشرين أول-1917:تشرين الثاني);
b13151071;s  ;1924;1931;المجلة العسكرية :;مجلة فنية عسكرية /;"al-Majallah al-‘askarīyah :$""المجلة العسكرية :""";المجلة العسكرية;;;;بغداد :;رئاسة أركان الجيش،;1924-[1931];"8 مجلدات : مصورات ؛ 24 سم";أربع مرات في السنة.;CEASE;;;في المكتبة:مج.1-8(1924:نيسان -1931:كانون الثاني);صدرت سنة 1924.
b12819839;s  ;1921;1959;المجلة القضائية :;تنشر القوانين الصادرة في الجمهوريتين اللبنانية والسورية مع إجتهادات محاكم التمييز والإستئناف في البلدين.;"al-Majallah al-qaḍā’īyah :$""المجلة القضائية :""$""La Revue juridique""";المجلة القضائية;;;;بيروت :;يوسف إبراهيم صادر،;1921-[1959];"مجلدات ؛ 25 سم";;CEASE;;"الفهرسان الاولان مجلدان مع ج 10 و15 والثالث على حده والرابع مع ج 25 والخامس والسادس على حدة.$""الفهارس 3 و5 و6 في دائرة المراجع.""";في المكتبة:مج.1-39(1921:نيسان-1959:كانون الأول);صدرت السنة الأولى  1921.
b18350537;s  ;1904;9999;المجلة المدرسية.;;"al-Majallah al-madrasīyah$""المجلة المدرسية :""";المجلة المدرسية;;;;مصر :;[سيد محمد]،;1904-;"مجلدات ؛ 24 سم";;CEASE;;تحفظ في دائرة المحفوظات والمجموعات الخاصة.;في المكتبة:مج.2:ع.1-12(1904:كانون الثاني-كانون الأول);
b18449712;s  ;1900;1902;المجلة المصرية :;أدبية سياسية تاريخية قضائية إقتصادية علمية زراعية.;al-Majallah al Miṣrīyah :;المجلة المصرية;;;;مصر :;[الناشر غير محدد]،;1900-[1902];"مجلدات : مصورات ؛ 30 سم";شهرية.;CEASE;;;في المكتبة:س.1:ع.3-24(1900:تموز-1901:أيار)، س.2:ع.20-24(1902:آذار-أيار)، س.3:ع.3(1902:تموز);صدرت السنة الاول 1900.
b23277270;s  ;1900;1909;المجلة المصرية :;أسبوعية جامعة.;;المجلة المصرية;;;;مصر :;[خليل مطران]،;1900-1909.;"مجلد ؛ 26 سم";أسبوعية.;CEASE;;;"في المكتبة: مج.1:ع.1-7، 9-18، 21، 22(1900:حزيران-1901:شباط، آذار)؛ مج.2:ع.1-24(1901:حزيران-1902:أيار)؛ مج.3:ع.1-18(1909:كانون الثاني- حزيران)";السنة الأولى، العدد الأول (حزيران 1900)-السنة الثالثة، العدد 18(حزيران 1909)
b13158156;s  ;1927;1958;المجموعة الإحصائية السنوية العامة /;;"Statistical abstract$""al-Majmū‘ah al-Iḥṣāʼīyah al-sanawīyah al-‘Āmmah""";المجموعة الإحصائية السنوية العامة ;;;;بغداد :;الدائرة الرئيسية للإحصاء،;[1927-1958];"مجلدات ؛ 38 سم";سنوية.;CEASE;;;في المكتبة:1938/1927، 1940-1947 ، 1949 ،1950- 1958.;
b12829213;s  ;1922;1985;المجموعة الإقتصادية /;;"al-Majmūʻah al-iqtiṣādīyah$""المجموعة السنوية لغرفة تجارة حلب""";المجموعة الإقتصادية;;;;حلب :;غرفة تجارة حلب،;1922-[1985];"27 مجلد : مصورات ؛ 24 سم";;CEASE;;;في المكتبة:1922، 1925-1964+ ملحق 1985.;
b13150959;s  ;1910;1914;المجموعة الكاملة لمجلة الزهور (1910 - 1914) /;;"الزهور :$""al-Majmūah al-kāmilah li-majallat al-zuhūr (1910 - 1914)""";المجموعة الكاملة لمجلة الزهور (1910-1914);;;;القاهرة :;الهيئة المصرية العامة للكتاب،;1997.;"2 مجلد : مصورات ؛ 23 سم";شهرية.;CEASE;;;في المكتبة :مج.1-2(1910: نيسان -1912:شباط);
b12819608;s  ;1927;1940;المحامي :;مجلة حقوقية إنتقادية /;"المحامي :$""المحامي :""";المحامي;;;;بيروت :;نقابة المحامين،;1927-[1940];13 مجلد;نصف شهرية.;CEASE;;;في المكتبة :مج.1-13(1927-1940);صدر العدد الاول سنة 1927.
b12823661;1  ;1899;1909;المحبة :;جريدة أدبية علمية إخبارية /;al-Maḥabbah :;المحبة;;;;بيروت :;جمعية التعليم المسيحي الأرثوذكسية،;1899-1909.;"10 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;"في المكتبة :مج.1-9 (1899:كانون الثاني-1907:كانون الاول)؛ 1909:كانون الثاني-كانون الأول.";صدر العدد الاول 1899.
b12824550;s  ;1899;1909;المحبة :;جريدة أدبية علمية اخبارية /;al-Maḥabbah :;المحبة;;;;بيروت :;جمعية التعليم المسيحي الأرثوذكسية،;1899-1909.;"9 مجلدات ؛ 27 سم";اسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000202;;في المكتبة :مج.1-9 (1899:كانون الثاني-1907:كانون الاول);صدر العدد الاول 1899.
b12820878;1  ;1881;1923;المحروسة.;;;المحروسة;;;;الإسكندرية :;[سليم النقاش]،;1881-[1923];"3 بكرة ميكروفيلم : سلبي وإيجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1881:كانون الثاني-حزيران، 1913:كانون الثاني- حزيران،1923: كانون الثاني-حزيران.;
b23277646;s  ;1902;1914;المحيط :;مجلة علمية روائية زراعية فكاهية مصورة.;al-Moheet :;المحيط;;;;الفجالة، مصر :;مطبعة المحيط،;1902-1914.;;شهرية.;CEASE;;;"في المكتبة:مج.9:ع.9/10(1911:تشرين الثاني/كانون الأول)؛ مج.10:ع.1، 2، 6-9(1912:كانون الثاني، شباط، آب، أيلول، تشرين الثاني)؛ مج.11:ع.1، 3-9(1913:كانون الثاني، آذار-تشرين الثاني)؛ مج.12:ع.1- 4(1914:كانون الثاني-نيسان)";
b18350501;s  ;1893;1908;المدرسة :;مجلة عمومية مدرسية.;al-Madrasah :;المدرسة;;;;مصر :;[مصطفى كامل]،;1893-1908.;"مجلدات ؛ 24 سم";شهرية.;CEASE;;تحفظ في دائرة المحفوظات والمجموعات الخاصة.;"في المكتبة:مج.1:ع.1-5(1893:شباط - حزيران) ؛ مج.2:ع.1-2(1908:نيسان)";صدر العدد الاول شباط 1893.
b17375630;s  ;1908;1913;المراقب :;جريدة سياسية ادبية اجتماعية صناعية زراعية فكاهية.;al-Murāqib :;المراقب;;;;بيروت :;جرجي شاهين عطية،;1908-[1913];"مجلدات : مصورات ؛ 28 سم";اسبوعية;CEASE;ايضاً نسخة مصورة على ميكروفيلم رقم: Mic-NA:000555;"تنقص الصفحات التالية: العدد الثاني: الصفحات 23-26؛ العدد الرابع عشر : الصفحات 219-220؛ العدد الثامن عشر: 283-284؛ العدد التاسع عشر: الصفحات 293-294.$""ينقص الجزء الثاني الصفحات التالية: 1-2،7-10،163--165، 399-400،449-465،469،485-492،4546-547661-668.""$"" تحفظ المجلدات في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة : 1908: كانون الأول-1910:كانون الأول;
b17375642;1  ;1908;1913;المراقب :;جريدة سياسية ادبية إجتماعية صناعية زراعية فكاهية.;al-Murāqib :;المراقب;;;;بيروت :;جرجي شاهين عطية،;1908-[1913];"1 بكرة ميكروفيلم سلبي وايجابي ؛ 35 مم";اسبوعية;CEASE;متوفر ايضاً نسخة مطبوعة.;"تنقص الصفحات التالية: العدد الثاني: الصفحات 23-26؛ العدد الرابع عشر : الصفحات 219-220؛ العدد الثامن عشر: 283-284؛ العدد التاسع عشر: الصفحات 293-294.";في المكتبة:1908 : كانون الاول - 1910 : كانون الاول.;
b12823703;1  ;1921;1927;المرأة الجديدة :;مجلة غايتها بث روح التربية الإستقلالية وتحسين الحياة العاثلية وترقية المرأة السورية أدبياً وعلمياً وإجتماعياً /;al-Marʼah al-jadīdah :;المرأة الجديدة;;;;بيروت :;جامعة السيدات،;1921-1927.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة: مج.1-3(1921:كانون الثاني-1923:كانون أول);
b12826765;s  ;1921;1927;المرأة الجديدة :;مجلة غايتها بث روح التربية الإستقلالية وتحسين الحياة العاثلية وترقية المرأة السورية ادبياً وعلمياً واجتماعياً /;"al-Marʼah al-jadīdah :$""مجلة المرأة الجديدة""";المرأة الجديدة;;;;بيروت :;جامعة السيدات،;1921-1927.;"مجلدات : مصورات ؛ 30 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000205.;"يوجد نسختين من الاجزاء  2 و 3$""تحفظ المجلدات في دائرة الارشيف والمجموعات الخاصة""";في المكتبة: مج.1:ع.1-مج.7:ع.5(1921:كانون الثاني-1927:أيار);
b1282849x;1  ;1924;1925;المرأة الجديدة.;;al-Marʼah al-jadīdah;المرأة الجديدة;;;;القاهرة :;[عبد الوهاب الصبري]،;1924-[1925];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1996.;في المكتبة:1924:ايلول-1925:شباط.;
b21209078;s  ;1923;1925;المرساة :;مجلة إقتصادية يصدرها طلبة القسم التجاري في الجامعة الاميركية = The Anchor : A Magazine by the Commercial Department of the American University of Beirut.;"مجلة إقتصادية يصدرها طلبة القسم التجاري في الجامعة الاميركية$""The Anchor :""$""The Anchor :""$""al-Marsāht:""";المرساة;;;;بيروت :;الجامعة الاميركية في بيروت،;1923-1925.;4 أعداد.;;CEASE;;"تحفظ في دائرة الارشيف والمجموعات الخاصة.$""The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 17.""";"في المكتبة : سنة 2 ع. 1-3 (1923-1924)؛ ع. شباط (1925).";
b25837576;s  ;1926;192u;المرشد :;مجلة دينية علمية أدبية.;;المرشد;;;;بغداد، العراق :;مطبعة الآداب،;[1926-192؟];"أعداد ؛ 25 سم";شهرية.;CEASE;;;"في المكتبة: مج.2:ع.9، 10(1927:تشرين الأول، تشرين الثاني)؛ مج.3:ع.1، 4، 5(1928:آب، تموز)؛ مج.4:ع.2، 4-7(1929:حزيران- أيلول)";
b12819876;s  ;1929;1930;المستشار :;مجلة حقوقية سياسية إقتصادية.;al-Mustashār :;المستشار;;;;بيروت :;دعيبس المر،;1929-1930.;مجلدات;;CEASE;;;في المكتبة :مج.1(1929-1930);صدر العدد الاول 1929.
b12819281;s  ;1910;9999;المسرة :;مجلة بطريركية الروم الكاثوليك : دينية، علمية، تاريخية، اخبارية /;al-Masarrah :;المسرة;;;;حريصا، لبنان :;الآباء المرسلين البولسيين،;1910-;"مجلدات ؛ 21 سم";مرتين بالشهر.;ACTIV;متوفر ايضاً على ميكروفيلم : Mic-NA:000525;;"في المكتبة :مج.1:ع.1-مج.98:ع.914(1910-2012)؛ مج.103:ع.938(2017)-";صدرت السنة الأولى الجزء الأول 1 حزيران 1910 .
b14449055;1  ;1910;9999;المسرة :;مجلة بطريركية الروم الكاثوليك : دينية، علمية، تاريخية، اخبارية.;al-Masarrah :;المسرة;;;;حريصا، لبنان :;الآباء المرسلين البولسيين،;1910-;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";مرتين بالشهر;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:مج. 1-85(1910-1999);صدرت السنة الأولى الجزء الأول 1 حزيران 1910 .
b12825347;s  ;1898;9999;المشرق :;مجلة كاثوليكية شرقية /;"al-Mashriq :$""المشرق :""$""al-Machriq""";المشرق;;;;بيروت :;آباء جامعة القديس يوسف،;1898-;"مجلدات : مصورات ؛ 25 سم";نصف سنوية.;ACTIV;متوفر ايضاً على ميكروفيلم : Mic-NA:000352;;في المكتبة:مج.1 (1898) -;صدر السنة الأولى 1898.
b13150741;1  ;1898;9999;المشرق :;مجلة كاثوليكية شرقية /;"al-Mashriq :$""al-Machriq""";المشرق;;;;بيروت :;آباء جامعة القديس يوسف،;1898-;"42 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";نصف سنوية;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1998.;في المكتبة:1898:كانون الثاني-1910:كانون الاول،1912:كانون الثاني- 1914:كانون الاول،1920:كانون الثاني-1941:كانون اول،1944/1946، 1947:كانون الثاني-1950:كانون اول.;صدر السنة الأولى 1898.
b12825827;s  ;1878;1878;المشكاة :;مجلة سياسية علمية صناعية تجارية فكاهية.;al-Mishkāt :;المشكاة;;;;بيروت :;خليل سركيس،;1878.;"1 مجلد ؛ 25 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000241;;في المكتبة :1878 : نيسان - تموز.;
b12827691;1  ;1878;1878;المشكاة :;مجلة سياسية علمية صناعية تجارية فكاهية.;al-Mishkāt :;المشكاة;;;;بيروت :;خليل سركيس،;1878.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1991.;في المكتبة:1878 : نيسان - تموز.;
b25836742;s  ;1928;    ;المصباح :;مجلة علمية أدبية تاريخية إجتماعية.;;المصباح;;;;دمشق، سوريا :;مطبعة التوفيق،;1928-;"أعداد ؛ 23 سم";شهرية.;CEASE;;;في المكتبة : مج.1:ع.1-3(1928);المجلد الأول، الجزء الأول (شباط 1928)
b12821986;1  ;1880;1904;المصباح.;;Miṣbāḥ;المصباح ;;;;بيروت :;نقولا النقاش،;1880-[1904];"21 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة : 1880:كانون الثاني-1899:كانون الثاني،1903:آذار-1904:نيسان.;صدرت في أول كانون الثاني 1880.
b1282544x;s  ;1880;1904;المصباح.;;Miṣbāḥ;المصباح ;;;;بيروت :;نقولا النقاش،;1880-[1904];1 مجلد;;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000115.;;في المكتبة:مج.1(1904:آذار-نيسان);صدرت في أول كانون الثاني 1880.
b13157875;1  ;1906;1907;المصور :;جريدة أسبوعية;Muṣawwar :;المصور;;;;الإسكندرية :;[خليل زينية]،;1906-1907.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 2001.;في المكتبة:س.3:ع.1-50(1906:شباط-1907:شباط);
b12823363;1  ;1924;1962;المصور :;مجلة مصورة /;al-Muṣawwar :;المصور;;;;القاهرة :;دار الهلال،;1924-1962.;"6 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1924: نيسان-تشرين الاول، 1925:نيسان-1928:اكتوبر، 1933:كانون الثاني-نيسان.;
b12826789;s  ;1924;1962;المصور :;مجلة مصورة /;"al-Muṣawwar :$""مجلة المصور""";المصور;;;;القاهرة :;دار الهلال،;1924-1962.;74 مجلد;أسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000175;ينقص المجموعة بعض الأعداد;في المكتبة :1925-1962.;
b12823405;1  ;1924;1934;المطرقة :;جريدة سياسية إنتقادية.;al-Miṭraqah :;المطرقة;;;;القاهرة :;[أحمد شفيق],;1924-1934.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:مج.1-10(1932-1934);
b1282530x;s  ;1918;19uu;المعارف.;;al-Ma‘ārif;المعارف;;;;بيروت :;[وديع نقولا حنا]،;1918-[19؟؟];10 مجلدات;شهرية.;CEASE;;;"في المكتبة: مج.1:ع.8(1918:أيلول)؛ مج.2:ع.6، 10(1919:نيسان)؛ مج.4-مج.12(1920-1929)؛ مج.13:ع.7(1930:تموز)؛ مج.14(1931)؛ مج.15:ع.7(1932:أيلول)+فهرس الجزئين كانون الثاني وشباط؛ مج.16:ع.8/9(1933:تشرين الأول/تشرين الثاني)؛ مج.18:ع.23/24(1935:كانون الأول)";صدرت في شباط 1918.
b12828191;1  ;1926;192u;المعرض :;مجلة تاريخية إجتماعية علمية حقوقية أدبية.;al-Ma‘raḍ :;المعرض;;;;بغداد :;مطبعة الاستقلال،;1926-[192؟];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1994.;في المكتبة:1926:نيسان، آب.;
b12826741;s  ;1921;1936;المعرض.;;"al-Ma‘raḍ$""المعرض الأسبوعي""";المعرض ;;;;بيروت :;ميشال زكور،;1921-1936.;"مجلدات : مصورات ؛ 34 سم";;CEASE;ايضاً نسخة مصورة على ميكروفيلم رقم: Mic-NA:000245;تحفظ المجلدات في دائرة الارشيف والمجموعات الخاصة;"في المكتبة:مج.1-12(1921-1932)؛ مج.14-16(1935-1936)";صدر العدد الاول ايار 1921.
